Date,Open,High,Low,Close,Volume,MA_7_Day,MA_20_Day,MA_50_Day,Daily_Return_Pct,Volatility_7Day,Price_Range,Volume_7Day_Avg,Stock
2022-03-15,1104.75,1104.75,1065.11,1075.4,15925769,1066.21,1075.34,1091.13,-0.02,0.03,39.63,16313039.29,RELIANCE.NS
2022-03-16,1083.84,1095.62,1081.61,1093.55,11149828,1076.86,1075.0,1091.12,0.02,0.02,14.01,15336827.57,RELIANCE.NS
2022-03-17,1106.93,1136.35,1098.9,1129.2,21422098,1092.86,1076.57,1091.34,0.03,0.02,37.45,15355788.14,RELIANCE.NS
2022-03-21,1112.05,1130.25,1109.77,1122.7,11999466,1100.23,1077.11,1091.32,-0.01,0.02,20.48,14153679.29,RELIANCE.NS
2022-03-22,1119.38,1153.43,1116.42,1151.7,22557065,1109.26,1079.54,1092.36,0.03,0.02,37.02,14807475.29,RELIANCE.NS
2022-03-23,1148.0,1167.04,1148.0,1155.37,15462187,1118.36,1082.71,1093.3,0.0,0.02,19.04,15265298.71,RELIANCE.NS
2022-03-24,1142.08,1175.82,1142.08,1173.32,13168266,1128.75,1087.02,1094.58,0.02,0.02,33.74,15954954.14,RELIANCE.NS
2022-03-25,1175.07,1190.31,1172.57,1181.14,14222488,1143.85,1092.07,1095.86,0.01,0.01,17.75,15711628.29,RELIANCE.NS
2022-03-28,1187.58,1196.57,1176.89,1193.02,9891424,1158.06,1100.4,1096.77,0.01,0.01,19.68,15531856.29,RELIANCE.NS
2022-03-29,1200.32,1200.32,1186.4,1193.29,8684065,1167.22,1108.1,1097.57,0.0,0.01,13.92,13712137.29,RELIANCE.NS
2022-03-30,1201.19,1223.07,1190.81,1216.22,15811550,1180.58,1115.23,1098.79,0.02,0.01,32.26,14256720.71,RELIANCE.NS
2022-03-31,1212.58,1214.75,1196.04,1198.84,13223718,1187.31,1120.61,1099.54,-0.01,0.01,18.7,12923385.43,RELIANCE.NS
2022-04-01,1199.41,1212.68,1193.04,1208.44,7922880,1194.9,1126.92,1100.76,0.01,0.01,19.63,11846341.57,RELIANCE.NS
2022-04-04,1208.26,1217.16,1201.98,1212.02,7929162,1200.43,1134.62,1102.05,0.0,0.01,15.17,11097898.14,RELIANCE.NS
2022-04-05,1206.28,1214.84,1192.45,1194.88,13149870,1202.39,1143.41,1103.4,-0.01,0.01,22.39,10944667.0,RELIANCE.NS
2022-04-06,1177.16,1198.73,1177.16,1191.7,12257215,1202.2,1152.13,1104.69,-0.0,0.01,21.57,11282637.14,RELIANCE.NS
2022-04-07,1180.8,1185.76,1168.02,1170.68,15496499,1198.97,1157.11,1106.46,-0.02,0.01,17.75,12255842.0,RELIANCE.NS
2022-04-08,1164.83,1194.41,1164.83,1190.15,15152495,1195.25,1162.19,1108.67,0.02,0.01,29.58,12161691.29,RELIANCE.NS
2022-04-11,1183.03,1200.57,1175.3,1187.67,9254209,1193.65,1167.0,1111.14,-0.0,0.01,25.28,11594618.57,RELIANCE.NS
2022-04-12,1177.12,1184.21,1162.74,1165.31,13217742,1187.49,1170.23,1113.19,-0.02,0.01,21.48,12351027.43,RELIANCE.NS
2022-04-13,1171.43,1179.66,1158.23,1161.03,10354235,1180.2,1174.51,1114.7,-0.0,0.01,21.43,12697466.43,RELIANCE.NS
2022-04-18,1152.55,1164.74,1147.45,1157.48,9974224,1174.86,1177.71,1116.2,-0.0,0.01,17.29,12243802.71,RELIANCE.NS
2022-04-19,1163.92,1213.97,1160.76,1201.6,26141820,1176.27,1181.33,1118.54,0.04,0.02,53.21,14227317.71,RELIANCE.NS
2022-04-20,1209.01,1244.0,1205.37,1236.93,25072240,1185.74,1187.04,1121.87,0.03,0.02,38.63,15595280.71,RELIANCE.NS
2022-04-21,1251.69,1269.03,1243.09,1265.89,21708633,1196.56,1192.75,1125.97,0.02,0.02,25.94,16531871.86,RELIANCE.NS
2022-04-22,1255.33,1274.94,1248.64,1255.29,15054154,1206.22,1197.75,1129.99,-0.01,0.02,26.3,17360435.43,RELIANCE.NS
2022-04-25,1247.83,1255.11,1211.99,1226.26,17063215,1214.92,1200.39,1133.07,-0.02,0.02,43.11,17909788.71,RELIANCE.NS
2022-04-26,1233.08,1271.76,1232.04,1262.95,12227666,1229.48,1204.48,1136.64,0.03,0.02,39.72,18177421.71,RELIANCE.NS
2022-04-27,1253.94,1286.77,1253.58,1264.18,19338945,1244.73,1208.04,1140.26,0.0,0.02,33.19,19515239.0,RELIANCE.NS
2022-04-28,1278.56,1297.24,1267.71,1283.07,25614076,1256.37,1212.53,1144.29,0.01,0.02,29.53,19439847.0,RELIANCE.NS
2022-04-29,1299.58,1299.58,1263.7,1269.6,18214862,1261.03,1215.2,1148.4,-0.01,0.02,35.88,18460221.57,RELIANCE.NS
2022-05-02,1256.74,1276.54,1254.95,1265.14,9467006,1260.93,1218.51,1151.7,-0.0,0.02,21.59,16711417.71,RELIANCE.NS
2022-05-04,1267.21,1269.48,1217.75,1225.64,19247660,1256.69,1219.37,1154.26,-0.03,0.02,51.73,17310490.0,RELIANCE.NS
2022-05-05,1239.23,1242.18,1197.59,1201.64,17210669,1253.17,1218.85,1156.05,-0.02,0.02,44.59,17331554.86,RELIANCE.NS
2022-05-06,1188.58,1209.88,1180.1,1192.43,19649948,1243.1,1218.73,1157.84,-0.01,0.01,29.78,18391880.86,RELIANCE.NS
2022-05-09,1171.63,1181.71,1140.72,1145.86,18083752,1226.2,1216.44,1158.92,-0.04,0.02,41.0,18212567.57,RELIANCE.NS
2022-05-10,1135.26,1149.63,1118.42,1126.0,19511677,1203.76,1214.21,1159.7,-0.02,0.01,31.21,17340796.29,RELIANCE.NS
2022-05-11,1125.09,1130.68,1102.02,1114.46,16643899,1181.59,1210.42,1160.38,-0.01,0.01,28.67,17116373.0,RELIANCE.NS
2022-05-12,1104.54,1107.89,1078.38,1091.76,20490321,1156.83,1205.62,1161.69,-0.02,0.01,29.51,18691132.29,RELIANCE.NS
2022-05-13,1103.86,1127.52,1099.01,1104.13,19308778,1139.47,1202.57,1162.99,0.01,0.02,28.51,18699863.43,RELIANCE.NS
2022-05-16,1107.7,1128.88,1099.6,1104.41,13437911,1125.58,1199.73,1163.6,0.0,0.02,29.28,18160898.0,RELIANCE.NS
2022-05-17,1108.0,1155.69,1106.59,1150.79,16551828,1119.63,1199.4,1164.79,0.04,0.03,49.1,17718309.43,RELIANCE.NS
2022-05-18,1155.57,1169.38,1141.28,1154.98,17276788,1120.93,1197.07,1166.25,0.0,0.02,28.1,17603028.86,RELIANCE.NS
2022-05-19,1130.25,1143.22,1122.08,1128.36,14699118,1121.27,1191.64,1167.65,-0.02,0.02,21.14,16915520.43,RELIANCE.NS
2022-05-20,1143.22,1203.23,1138.44,1194.16,21793091,1132.65,1188.05,1171.15,0.06,0.03,64.79,17651119.29,RELIANCE.NS
2022-05-23,1197.36,1207.4,1179.85,1186.17,15252755,1146.14,1184.6,1174.53,-0.01,0.03,27.55,16902895.57,RELIANCE.NS
2022-05-24,1186.22,1200.32,1181.98,1190.24,13527818,1158.44,1182.8,1176.92,0.0,0.03,18.34,16077044.14,RELIANCE.NS
